name,titles,stars,review
Amazon Customer,Works great but charger given doesn't work,4.0 out of 5 stars,The charger given does not charge the ipad. We tried there school charger they have done there online schooling and works perfect. Wouldnt charge with the one sent or the one I bought. Strange
TR,Be ready to return it,1.0 out of 5 stars,"The product came looking real nice I booted it up had Apple help me adjust it. After a few days the safari window when turned lengthwise had a blank spot, then it started freezing up where my touch wouldn’t work for about 30 seconds refurbished I don’t know if I’ll buy it again"
Trevor,I’m very happy with my purchase and I would buy from this seller again.,5.0 out of 5 stars,I was skeptical about buying a refurbished Apple. I didn’t want to spend 50% more on a new one though. This thing came like brand new with perfect battery health and perfect condition. I’m very happy with my purchase and I would buy from this seller again.
Sandra Dale,Refurbished. I pad,3.0 out of 5 stars,My granddaughter selected  this for me and it does not work as well as my old one. ItSeems to freeze up often andI have to turn off or slant.  Wish I had spent a little more money and gotten a brand new one. Disappointing.😢
Marilyn Curley,Loved the I pad air but plug sent was sub standard.,5.0 out of 5 stars,"I love my I pad air! It looks brand new, works perfectly. It came with an Apple lightning cord but the plug was sub standard and got very hot after about 10 minutes. I threw it out and got an apple plug. Problem solved. It’s been 3 months since purchase. Works perfectly and am very happy with the purchase."
LC,Extremely happy with purchase,5.0 out of 5 stars,"Extremely pleased with this purchase. Excellent like-new condition, everything functions as expected. This refurb saved me from being without an iPad due to a “Boot Loop” battery issue on my old one. Not able to afford a new one at this time, I was concerned with taking a risk. So far so good and, unlike some, I’m perfectly fine with the inclusion of a generic charger/cable. Glad to have something come with a refurb at all! If you prefer Apple to generic, Apple’s online store sells not only the “Apple” brand but provides a selection of compatible products at varying price points. So overall, I gladly give this transaction a 5 Star rating and highly recommend seller!"
Dinger,iPad 10.5inch,2.0 out of 5 stars,"LOVED this new iPad, however it would not allow any app uploads or iOS updates, the company returned my money quickly and was responsive to my questions. Will be buying another iPad soon."
L. Brown,As described,5.0 out of 5 stars,"Great product, 💯"
Alex Phipps,Could’ve told me it was new.,5.0 out of 5 stars,"When I opened this thing up, I was sure there would be some weird abnormality on it some where, but it was like new. The only complaint I have is that it came with an after market charger but I already high quality chargers anyways so it wasn’t a big deal for me. Unbelievably good purchase, would recommend to anyone looking to get and iPad."
Cindy,Might be refurbished but works brand new,5.0 out of 5 stars,"Definitely need to get a new charger because the iPad doesn't come with its original one, but honestly no issues other than that. It works perfectly and in the month I've had it I haven't had any real issues. I bought an apple pencil to go with it and a wireless keyboard and they work perfectly fine. Definitely worth my money."
Van G.,Really good condition,5.0 out of 5 stars,Guess I got lucky. No scratches on screen or case so that would be excellent for me. I stress tested it with everything I know to do and no problems. Not an apple charger but it is a 12W. Definitely a screen improvement from an Ipad mini 4Couldn't justify brand new since I use it mainly for flying DJI drones so bought this to get the Celluar also but I don't activate just plug in an att sim to silence it.
Jordan,Received broken...,2.0 out of 5 stars,Product looks perfect. But most likely sent to me with the same problem it got sent in for. When I press near the home button I get lines all through the display. I’m thinking about trying another. Might just break down and buy new...
Ogler Tomas,Línea blanca en la pantalla,4.0 out of 5 stars,El producto me llegó con una línea blanca en la pantalla en la parte de arriba
Amazon Customer,Good value - but check the charging block!,4.0 out of 5 stars,"So far so good. It works well. As refurbished, it does have a few wear scuff, but the screen is in great shape and it’s working well. My only complaint is that they sent it with an IPhone charging block, so it took more than 8 hours to charge. Once I realized it needed a different charging block (12W or 18W, not 5W that came with the iPad) I bought one. It’s now charging as expected. Would’ve given 5 stars if it came with the correct charging block."
Incognito,"Very, very pleased",5.0 out of 5 stars,"Item arrived in 2 days via FedEx. Packed superbly. Even though it is a renewed item, you could never tell it. Maybe a few vague smudges on the back. Screen is perfect. It performs flawlessly. Whew! Charger included is not official Apple brand but is a ZTE made in China brand but it is correct type and charges well. Seller was very responsive to all my questions and professional. This was money well spent. Would buy from these guys again with no hesitation. Recommended"
Connie M,No response from manufacturer!,1.0 out of 5 stars,"Product wouldnt keep a charge.  The way i understood, if not satisfied it could be returned within 90 days for a FULL refund.  Must have been charged almost 50% restocking fee.  Tried to contact them twice, never heard from the company as to why.  Will never purchase from them again."
